year,agegrp,sex,dimd,population_size,clbr,population_size_calibrated
2014,05-09,men,1 most deprived,212914,1675143,212200.322355763
2014,05-09,men,2,197039,1675143,196378.534603911
2014,05-09,men,3,179044,1675143,178443.852991655
2014,05-09,men,4,164364,1675143,163813.0596564
2014,05-09,men,5,155001,1675143,154481.443988961
2014,05-09,men,6,153864,1675143,153348.255159112
2014,05-09,men,7,148845,1675143,148346.078609408
2014,05-09,men,8,151095,1675143,150588.53671597
2014,05-09,men,9,153653,1675143,153137.962421119
2014,05-09,men,10 least deprived,159324,1675143,158789.953497701
2014,10-14,men,1 most deprived,179079,1521492,179081.824790403
2014,10-14,men,2,166690,1521492,166692.629366438
2014,10-14,men,3,152831,1521492,152833.410754707
2014,10-14,men,4,144206,1521492,144208.274704041
2014,10-14,men,5,140883,1521492,140885.222287071
2014,10-14,men,6,141418,1521492,141420.230726156
2014,10-14,men,7,141551,1521492,141553.232824096
2014,10-14,men,8,144953,1521492,144955.286487211
2014,10-14,men,9,149645,1521492,149647.360498774
2014,10-14,men,10 least deprived,160236,1521492,160238.527561105
2014,15-19,men,1 most deprived,189960,1658761,189360.835491068
2014,15-19,men,2,179539,1658761,178972.705007533
2014,15-19,men,3,168409,1658761,167877.810824465
2014,15-19,men,4,159329,1658761,158826.450610426
2014,15-19,men,5,156673,1658761,156178.828063235
2014,15-19,men,6,155717,1658761,155225.843441581
2014,15-19,men,7,157226,1658761,156730.083811954
2014,15-19,men,8,158601,1658761,158100.746839961
2014,15-19,men,9,164916,1658761,164395.828310408
2014,15-19,men,10 least deprived,168391,1658761,167859.867599371
2014,20-24,men,1 most deprived,204586,1837331,203779.272431587
2014,20-24,men,2,216789,1837331,215934.153320224
2014,20-24,men,3,221604,1837331,220730.16671683
2014,20-24,men,4,214524,1837331,213678.084713097
2014,20-24,men,5,190552,1837331,189800.611578425
2014,20-24,men,6,170017,1837331,169346.58559726
2014,20-24,men,7,167383,1837331,166722.972038245
2014,20-24,men,8,160374,1837331,159741.610065905
2014,20-24,men,9,156302,1837331,155685.666856979
2014,20-24,men,10 least deprived,135200,1837331,134666.876681447
2014,25-29,men,1 most deprived,210117,1861195,204330.412850883
2014,25-29,men,2,233054,1861195,226635.731694959
2014,25-29,men,3,242568,1861195,235887.717721142
2014,25-29,men,4,222404,1861195,216279.030919382
2014,25-29,men,5,197076,1861195,191648.559816677
2014,25-29,men,6,180904,1861195,175921.934000467
2014,25-29,men,7,162320,1861195,157849.734262127
2014,25-29,men,8,155347,1861195,151068.769519583
2014,25-29,men,9,141666,1861195,137764.541978675
2014,25-29,men,10 least deprived,115739,1861195,112551.567236104
2014,30-34,men,1 most deprived,204453,1844305,204116.66170346
2014,30-34,men,2,225967,1844305,225595.269793771
2014,30-34,men,3,236462,1844305,236073.004845728
2014,30-34,men,4,220237,1844305,219874.696011235
2014,30-34,men,5,197106,1844305,196781.747989622
2014,30-34,men,6,183837,1844305,183534.576345561
2014,30-34,men,7,164596,1844305,164325.229024483
2014,30-34,men,8,156155,1844305,155898.115010804
2014,30-34,men,9,141611,1844305,141378.040823508
2014,30-34,men,10 least deprived,113881,1844305,113693.658451829
2014,35-39,men,1 most deprived,174859,1694768,176682.941331203
2014,35-39,men,2,188280,1694768,190243.934792255
2014,35-39,men,3,194051,1694768,196075.131667579
2014,35-39,men,4,187640,1694768,189597.258999462
2014,35-39,men,5,173456,1694768,175265.30674169
2014,35-39,men,6,170569,1694768,172348.192657638
2014,35-39,men,7,159011,1694768,160669.632012169
2014,35-39,men,8,157474,1694768,159116.59967854
2014,35-39,men,9,149990,1694768,151554.534626568
2014,35-39,men,10 least deprived,139438,1694768,140892.467492896
2014,40-44,men,1 most deprived,175199,1838425,176653.349205978
2014,40-44,men,2,183816,1838425,185341.880020126
2014,40-44,men,3,187186,1838425,188739.854819207
2014,40-44,men,4,188041,1838425,189601.952283068
2014,40-44,men,5,183095,1838425,184614.894907326
2014,40-44,men,6,185850,1838425,187392.764513102
2014,40-44,men,7,182939,1838425,184457.599931463
2014,40-44,men,8,184086,1838425,185614.121324503
2014,40-44,men,9,184990,1838425,186525.625543604
2014,40-44,men,10 least deprived,183223,1838425,184743.957451623
2014,45-49,men,1 most deprived,174918,1935213,176134.969890136
2014,45-49,men,2,183674,1935213,184951.888654117
2014,45-49,men,3,186920,1935213,188220.472289097
2014,45-49,men,4,190954,1935213,192282.53833454
2014,45-49,men,5,191770,1935213,193104.215551466
2014,45-49,men,6,198134,1935213,199512.492277594
2014,45-49,men,7,198910,1935213,200293.891199573
2014,45-49,men,8,201372,1935213,202773.020253585
2014,45-49,men,9,203421,1935213,204836.275912264
