year,age,sex,pops
12,65,men,344224
12,65,women,358764
12,66,men,264546
12,66,women,278150
12,67,men,256578
12,67,women,271067
12,68,men,255904
12,68,women,270626
12,69,men,236402
12,69,women,253601
12,70,men,209814
12,70,women,228263
12,71,men,187707
12,71,women,207189
12,72,men,195225
12,72,women,216513
12,73,men,192530
12,73,women,216066
12,74,men,186864
12,74,women,210865
12,75,men,176244
12,75,women,202202
12,76,men,165903
12,76,women,194223
12,77,men,156387
12,77,women,186258
12,78,men,143031
12,78,women,174813
12,79,men,134357
12,79,women,168583
12,80,men,128848
12,80,women,166292
12,81,men,119556
12,81,women,161060
12,82,men,108407
12,82,women,152682
12,83,men,96077
12,83,women,139907
12,84,men,84385
12,84,women,128142
12,85,men,75761
12,85,women,118292
12,86,men,66164
12,86,women,109340
12,87,men,56161
12,87,women,98940
12,88,men,47372
12,88,women,89662
12,89,men,39326
12,89,women,80177
12,90,men,33798
12,90,women,72393
12,91,men,28099
12,91,women,64453
12,92,men,22279
12,92,women,55912
12,93,men,10849
12,93,women,29681
12,94,men,7620
12,94,women,22851
12,95,men,6070
12,95,women,19571
12,96,men,4420
12,96,women,15711
12,97,men,3130
12,97,women,12100
12,98,men,1960
12,98,women,8650
12,99,men,2790
12,99,women,15150
13,30,men,364670
13,30,women,374540
13,31,men,366002
13,31,women,375258
13,32,men,370165
13,32,women,377688
13,33,men,372495
13,33,women,377888
